"","ident","ANIO","long","lat","observ"
"1","2017_ 409",2017,-71.6450407,-16.31263791," "
"2","2017_ 402",2017,-71.58134921,-16.34287709," "
"3","2017_ 375",2017,-71.49507127,-16.39658721," "
"4","2017_ 364",2017,-71.61248481,-16.32486598,"Punto referencia"
"5","2017_ 349",2017,-71.49751862,-16.40665486,"Punto referencial"
"6","2017_ 329",2017,-71.50418363,-16.39453889,"Punto referencial"
"7","2017_ 319",2017,-71.48023315,-16.39120303,"Punto referencial"
"8","2017_ 315",2017,-71.52693936,-16.34398399," "
"9","2017_ 312",2017,-71.59078977,-16.31809921," "
"10","2017_ 302",2017,-71.54772846,-16.3141398," "
"11","2017_ 298",2017,-71.50898482,-16.37043411," "
"12","2017_ 290",2017,-71.57384842,-16.38751578," "
"13","2017_ 279",2017,-71.51484821,-16.37336648," "
"14","2017_ 275",2017,-71.54095899,-16.31601061," "
"15","2017_ 259",2017,-71.54346366,-16.32242159," "
"16","2017_ 247",2017,-71.59029196,-16.33711483," "
"17","2017_ 238",2017,-71.48445147,-16.39896097," "
"18","2017_ 225",2017,-71.622397,-16.32188359,"Punto referencial"
"19","2017_ 212",2017,-71.61880305,-16.33719637,"Punto referencial"
"20","2017_ 207",2017,-71.55175016,-16.33067158," "
"21","2017_ 203",2017,-71.49291452,-16.3944772," "
"22","2017_ 202",2017,-71.47832879,-16.3948436,"Punto referencial"
"23","2017_ 201",2017,-71.58659398,-16.33765074," "
"24","2017_ 177",2017,-71.58143388,-16.3427963," "
"25","2017_ 161",2017,-71.52226449,-16.39275702," "
"26","2017_ 160",2017,-71.47810257,-16.39389395,"Punto referencial"
"27","2017_ 159",2017,-71.49068827,-16.39429923," "
"28","2017_ 145",2017,-71.52982814,-16.29655948,"Punto referencial"
"29","2017_ 134",2017,-71.61557269,-16.33674716,"Punto referencial"
"30","2017_ 133",2017,-71.58435144,-16.32683784," "
"31","2017_ 129",2017,-71.47855933,-16.40948983," "
"32","2017_ 112",2017,-71.59359129,-16.32689005," "
"33","2017_ 101",2017,-71.52118027,-16.36886102," "
"34","2017_ 98",2017,-71.54050378,-16.34497261," "
"35","2017_ 97",2017,-71.66050754,-16.42504011," "
"36","2017_ 96",2017,-71.58441536,-16.3268133," "
"37","2017_ 93",2017,-71.6301607,-16.29982522," "
"38","2017_ 91",2017,-71.59424357,-16.32093559," "
"39","2017_ 74",2017,-71.56848773,-16.32448261," "
"40","2017_ 61",2017,-71.62345019,-16.32444452,"Punto referencial"
"41","2017_ 57",2017,-71.57224432,-16.32152704," "
"42","2017_ 46",2017,-71.52412363,-16.46919428," "
"43","2017_ 12",2017,-71.58144098,-16.34312128," "
"44","2017_ 5",2017,-71.59324862,-16.32704778," "
"45","2017_ 2",2017,-71.56520284,-16.44510074," "
"46","2016_ 576",2016,-71.55066935,-16.31380686," "
"47","2016_ 575",2016,-71.53590213,-16.31768928," "
"48","2016_ 574",2016,-71.53193427,-16.29506544,"Punto referencial"
"49","2016_ 571",2016,-71.67049146,-16.42404763," "
"50","2016_ 567",2016,-71.56201274,-16.34734352,"Punto referencial"
"51","2016_ 566",2016,-71.54886436,-16.30677394,"Punto Referencial"
"52","2016_ 563",2016,-71.58124094,-16.33749293," "
"53","2016_ 562",2016,-71.58302859,-16.32566277," "
"54","2016_ 534",2016,-71.58992556,-16.33837193," "
"55","2016_ 528",2016,-71.65153486,-16.29671753,"Punto Referencial"
"56","2016_ 525",2016,-71.61700073,-16.30661604,"Punto referencial"
"57","2016_ 524",2016,-71.60300452,-16.34352453,"Punto referencial"
"58","2016_ 515",2016,-71.58291318,-16.32545087," "
"59","2016_ 495",2016,-71.54519947,-16.3235226," "
"60","2016_ 494",2016,-71.55341102,-16.32430409," "
"61","2016_ 493",2016,-71.59039358,-16.32127108," "
"62","2016_ 485",2016,-71.57997204,-16.40529089,"Punto referencial"
"63","2016_ 482",2016,-71.5078828,-16.39413709," "
"64","2016_ 481",2016,-71.51231033,-16.40285378," "
"65","2016_ 480",2016,-71.59438684,-16.33264008," "
"66","2016_ 469",2016,-71.62046223,-16.33450165,"Punto Referencial"
"67","2016_ 468",2016,-71.50911405,-16.44365555," "
"68","2016_ 462",2016,-71.54865668,-16.3262841,"Punto referencial"
"69","2016_ 460",2016,-71.61687325,-16.33481528,"Punto referencial"
"70","2016_ 459",2016,-71.61687199,-16.33460898,"Punto referencial"
"71","2016_ 442",2016,-71.61649811,-16.33453865,"Punto referencial"
"72","2016_ 434",2016,-71.48238419,-16.38911924,"Punto referencial"
"73","2016_ 427",2016,-71.60889919,-16.34216033," "
"74","2016_ 386",2016,-71.49612593,-16.40575491,"Punto referencial"
"75","2016_ 381",2016,-71.55994393,-16.33293239," "
"76","2016_ 357",2016,-71.58736745,-16.32286847," "
"77","2016_ 355",2016,-71.49709705,-16.41002507," "
"78","2016_ 347",2016,-71.51529717,-16.39591499," "
"79","2016_ 339",2016,-71.60015599,-16.31826157," "
"80","2016_ 337",2016,-71.55033075,-16.30863841," "
"81","2016_ 324",2016,-71.49924811,-16.40341986," "
"82","2016_ 302",2016,-71.5193246,-16.36897699," "
"83","2016_ 291",2016,-71.61092203,-16.31103879," "
"84","2016_ 276",2016,-71.54761443,-16.3446775,"Punto referencial"
"85","2016_ 234",2016,-71.59525364,-16.3177783,"Punto referencial"
"86","2016_ 214",2016,-71.51845298,-16.39129886,"Punto referencia"
"87","2016_ 191",2016,-71.55495335,-16.37765229,"Punto referencial"
"88","2016_ 166",2016,-71.55078345,-16.31433177," "
"89","2016_ 160",2016,-71.49706107,-16.39933727," "
"90","2016_ 153",2016,-71.54799015,-16.31344303," "
"91","2016_ 150",2016,-71.55049684,-16.3117007," "
"92","2016_ 130",2016,-71.5827859,-16.31652235," "
"93","2016_ 108",2016,-71.49954689,-16.42989134," "
"94","2016_ 93",2016,-71.51121539,-16.38445505," "
"95","2016_ 87",2016,-71.49005631,-16.39949408," "
"96","2016_ 80",2016,-71.49220271,-16.37864886," "
"97","2016_ 72",2016,-71.49476962,-16.39880032," "
"98","2016_ 69",2016,-71.51328883,-16.394621," "
"99","2016_ 44",2016,-71.59056757,-16.33157566," "
"100","2016_ 43",2016,-71.59185728,-16.33112804," "
"101","2016_ 36",2016,-71.49172807,-16.39237893," "
"102","2016_ 32",2016,-71.56136748,-16.3301838," "
"103","2016_ 22",2016,-71.55127284,-16.30893296," "
"104","2016_ 10",2016,-71.50265381,-16.38168047," "
"105","2017_ 53",2015,-71.51186219,-16.36774449,NA
"106","2017_ 73",2015,-71.50150904,-16.37565627,NA
"107","2017_ 92",2015,-71.50128301,-16.3953368,NA
"108","2017_ 101",2015,-71.52681217,-16.4105299,NA
"109","2017_ 103",2015,-71.51338591,-16.4059716,NA
"110","2017_ 114",2015,-71.52094741,-16.36856114,NA
"111","2017_ 118",2015,-71.49856953,-16.37500998,NA
"112","2017_ 166",2015,-71.50661594,-16.46414276,NA
"113","2017_ 367",2015,-71.50720846,-16.40813318,NA
"114","2017_ 496",2015,-71.49914954,-16.40085087,NA
"115","2017_ 507",2015,-71.47867453,-16.40575556,NA
"116","2017_ 521",2015,-71.53614139,-16.40797405,NA
"117","2017_ 560",2015,-71.49618517,-16.40255789,NA
"118","2017_ 609",2015,-71.4839463,-16.3924328,NA
"119","2017_ 653",2015,-71.49329888,-16.40240654,NA
"120","2017_ 696",2015,-71.50379518,-16.40288251,NA
"121","2017_ 699",2015,-71.49571685,-16.39422949,NA
"122","2017_ 704",2015,-71.49390975,-16.39492615,NA
"123","2017_ 711",2015,-71.48548371,-16.39289249,NA
"124","30",2017,NA,NA,"not found yet"
"125","361",2017,NA,NA,"not found yet"
"331","2018_ 1",2018,-16.342329,-71.60531,"Caso 1"
"251","2018_ 2",2018,-16.40072,-71.508995,"Caso 2 Rabia Canina"
"126","2018_ 3",2018,-16.414825,-71.52636,"Caso 3 Rabia Canina"
"261","2018_ 4",2018,-16.395512,-71.50288,"4to Caso Rabia Canina"
"371","2018_ 5",2018,-16.341963,-71.60505,"Caso 5 ByR Sect 6 Zamacola"
"241","2018_ 6",2018,-16.424677,-71.53313,"Posible Caso De Rabia (6to)"
"271","2018_ 7",2018,-16.307346,-71.523506,"Caso 7 Rabia"
"211","2018_ 8",2018,-16.351608,-71.61768,"8vo caso de rabia canina"
"171","2018_ 9",2018,-16.352282,-71.59883,"9no caso de rabia canina"
"1010","2018_ 10",2018,-16.305323,-71.62369,"10 caso de rabia canina"
"361","2018_ 11",2018,-16.4106,-71.546394,"11vo caso de rabia canina"
"181","2018_ 12",2018,-16.3241,-71.54373,"12vo caso de rabia canina"
"127","2018_ 13",2018,-16.414707,-71.52698,"BYR Caso 3 2014 17 Marz"
"321","2018_ 14",2018,-16.4332,-71.526474,"BYR Caso 4 2018 20 Marz"
"161","2018_ 15",2018,-16.35346,-71.56632,"Caso 15 2018 PS Nazareno"
"1110","2018_ 16",2018,-16.319275,-71.61746,"16vo sospechoso caso rabia canina"
"301","2018_ 17",2018,-16.434238,-71.50982,"Caso 17 rabia canina"
"341","2018_ 18",2018,-16.32092,-71.59554,"18vo Caso De Rabia Canina"
"191","2018_ 19",2018,-16.345425,-71.61238,"19vo Caso De Rabia Canina"
"710","2018_ 20",2018,-16.404142,-71.491035,"20vo Caso De Rabia Canina"
"910","2018_ 21",2018,-16.419655,-71.54993,"21vo Caso Probable De Rabia Canina"
"410","2018_ 22",2018,-16.447126,-71.539085,"22vo caso de rabia canina"
"391","2018_ 23",2018,-16.322319,-71.547905,"23vo Caso De Rabia Canina"
"131","2018_ 24",2018,-16.31917,-71.58366,"24vo Caso De Rabia Canina"
"231","2018_ 25",2018,-16.307352,-71.6272,"Caso 12 Ciudad De Dios Altiplano"
"151","2018_ 26",2018,-16.314486,-71.54096,"Caso 26 Rabia Canina"
"210","2018_ 27",2018,-16.338055,-71.593544,"Caso Sospechoso Cerro Colorado"
"351","2018_ 28",2018,-16.314486,-71.54096,"Caso 26 Rabia Canina"
"221","2018_ 29",2018,-16.33718,-71.62522,"Caso 29 Rabia Canina Mr Zamacola"
"510","2018_ 30",2018,-16.328983,-71.609474,"Caso De Rabia No 30 Apipa Sector 3 Mz F Lote D4"
"141","2018_ 31",2018,-16.304052,-71.61763,"Caso 31 Caso De Rabia Km 14 Comite 9 Mz N Lote 4"
"281","2018_ 32",2018,-16.319506,-71.59441,"32vo Caso De Rabia Canina, 18/09/2018"
"291","2018_ 33",2018,-16.324383,-71.59501,"33vo Caso De Rabia Canina 18/09/2018"
"810","2018_ 34",2018,-16.309557,-71.61234,"Caso 34 Sospechoso"
