FECHA,TOTAL_POSITIVOS,TOTAL_PRUEBAS,TOTAL_DESCARTADOS,POSITIVOS_DIA,PRUEBAS_DIA,DESCARTADOS_DIA,RECUPERADOS,FALLECIDOS,HOSPITALIZADOS,HOSPITALIZADOS_UCI,OBSERVACION,FUENTE,ACTUALIZACION
06/03/2020,1,155,154,1,155,154,,,,,Base de datos actualizada de acuerdo a la fecha de confirmacion del caso,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Per%C3%BA,Al 19 de abril del 2020
07/03/2020,6,219,213,5,64,59,,,,,,,
08/03/2020,8,258,250,2,39,37,,,,,,,
09/03/2020,11,320,309,3,62,59,,,,,,,
10/03/2020,12,347,335,1,27,26,,,,,,,
11/03/2020,20,717,697,8,370,362,,,,,,,
12/03/2020,28,911,883,8,194,186,,,,,,,
13/03/2020,39,1233,1194,11,322,311,,,,,,,
14/03/2020,58,1560,1502,19,327,308,,,,,,,
15/03/2020,86,1837,1751,28,277,249,1,,,,,,
16/03/2020,106,2335,2229,20,498,478,1,,,,,,
17/03/2020,135,2815,2680,29,480,451,1,,,,,,
18/03/2020,193,3123,2930,58,308,250,1,3,19,,,,
19/03/2020,256,4097,3841,63,974,911,1,4,28,,,,
20/03/2020,313,4348,4035,57,251,194,1,5,28,,,,
21/03/2020,344,5329,4985,31,981,950,1,5,31,,,,
22/03/2020,383,6204,5821,39,875,836,1,5,31,,,,
23/03/2020,416,6685,6269,33,481,448,1,7,23,,,,
24/03/2020,480,7077,6597,64,392,328,1,9,38,,,,
25/03/2020,580,8140,7560,100,1063,963,14,9,58,14,,,
26/03/2020,634,9273,8639,54,1133,1079,14,11,79,19,,,
27/03/2020,669,10099,9430,35,826,791,16,16,84,33,,,
28/03/2020,807,11032,10225,138,933,795,16,18,107,40,,,
29/03/2020,950,12767,11817,143,1735,1592,16,24,238,49,,,
30/03/2020,1065,13567,12502,115,800,685,394,30,190,57,,,
31/03/2020,1319,14717,13398,254,1150,896,447,47,198,56,,,
01/04/2020,1414,15678,14264,95,961,866,537,55,189,51,,,
02/04/2020,1594,16698,15104,180,1020,840,537,61,189,51,,,
03/04/2020,1756,17495,15739,162,797,635,799,73,285,88,,,
04/04/2020,2281,18376,16095,525,881,356,989,83,321,81,,,
05/04/2020,2561,20414,17853,280,2038,1758,997,92,387,89,base de datos modificada de acuerdo a los cambios de MINSA a partir del 5 de abril,,
06/04/2020,2954,21555,18601,393,1141,748,1301,107,490,109,,,
07/04/2020,4342,39599,35257,1388,18044,16656,1333,121,512,113,Incluye pruebas moleculares + pruebas rapidas,,
08/04/2020,5256,48465,43209,914,8866,7952,1438,138,600,124,Incluye pruebas moleculares + pruebas rapidas,,
09/04/2020,5897,56681,50784,641,8216,7575,1569,169,687,130,Incluye pruebas moleculares + pruebas rapidas,,
10/04/2020,6848,65712,58864,951,9031,8080,1739,181,788,142,Incluye pruebas moleculares + pruebas rapidas,,
11/04/2020,7519,76506,68987,671,10794,10123,1798,193,815,134,Incluye pruebas moleculares + pruebas rapidas,,
12/04/2020,9784,87116,77332,2265,10610,8345,2642,216,901,143,Incluye pruebas moleculares + pruebas rapidas,,
13/04/2020,10303,102216,91913,519,15100,14581,2869,230,914,132,Incluye pruebas moleculares + pruebas rapidas,,
14/04/2020,11475,109385,97910,1172,7169,5997,3108,254,1113,146,Incluye pruebas moleculares + pruebas rapidas,,
15/04/2020,12491,121468,108977,1016,12083,11067,6120,274,1277,169,Incluye pruebas moleculares + pruebas rapidas,,
16/04/2020,13489,127513,114024,998,6045,5047,6541,300,1219,137,Incluye pruebas moleculares + pruebas rapidas,,
17/04/2020,14420,135895,121475,931,8382,7451,6684,348,1268,117,Incluye pruebas moleculares + pruebas rapidas,,
18/04/2020,15628,143745,128117,1208,7850,6642,6811,400,1349,167,Incluye pruebas moleculares + pruebas rapidas,,
19/04/2020,16325,148011,131686,697,4266,3569,6968,445,1682,385,Incluye pruebas moleculares + pruebas rapidas,,
20/04/2020,17837,155724,137887,1512,7713,6201,6982,484,2419,380,Incluye pruebas moleculares + pruebas rapidas,,
21/04/2020,19250,170400,151150,1413,14676,13263,7027,530,2434,396,Incluye pruebas moleculares + pruebas rapidas,,
22/04/2020,20914,185238,164324,1664,14838,13174,7422,572,2786,467,Incluye pruebas moleculares + pruebas rapidas,,
23/04/2020,21648,198349,176701,734,13111,12377,7496,634,3194,505,Incluye pruebas moleculares + pruebas rapidas,,
24/04/2020,25331,218195,192864,3683,19846,16163,7797,700,3532,545,Incluye pruebas moleculares + pruebas rapidas,,
25/04/2020,27517,232747,205230,2186,14552,12366,8088,728,3632,554,Incluye pruebas moleculares + pruebas rapidas,,
