Día,Fecha,LIM,ARE,HUC,ICA,CUS,PIU,LAM,CAL,LAL,ANC,LOR,SAM,MDD,JUN,TUM,CAJ,PAS,TAC,AYA,HUA,APU,MOQ,PUN,AMA,UCA,Total,Acumulado,Descartados,Fuente
1,6-Mar,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,154,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Per%C3%BA
2,7-Mar,4,1,,,,,,,,,,,,,,,,,,,,,,,,5,6,213,
3,8-Mar,2,,,,,,,,,,,,,,,,,,,,,,,,,2,8,250,
4,9-Mar,1,,2,,,,,,,,,,,,,,,,,,,,,,,3,11,309,
5,10-Mar,1,,,,,,,,,,,,,,,,,,,,,,,,,1,12,335,
6,11-Mar,6,1,,1,,,,,,,,,,,,,,,,,,,,,,8,20,697,
7,12-Mar,8,,,,,,,,,,,,,,,,,,,,,,,,,8,28,883,
8,13-Mar,10,,,,1,,,,,,,,,,,,,,,,,,,,,11,39,1194,
9,14-Mar,16,,,,,2,1,,,,,,,,,,,,,,,,,,,19,58,1502,
10,15-Mar,22,,,,,,2,2,1,1,,,,,,,,,,,,,,,,28,86,1751,
11,16-Mar,16,,,,,,3,,,,1,,,,,,,,,,,,,,,20,106,2229,
12,17-Mar,17,,,,,,,1,1,,9,1,,,,,,,,,,,,,,29,135,2680,
13,18-Mar,52,,,,3,,,,,1,1,,1,,,,,,,,,,,,,58,193,2930,
14,19-Mar,56,1,,,,,,,,2,1,,,3,,,,,,,,,,,,63,256,3841,
15,20-Mar,27,1,,,,16,2,,2,,2,,,7,,,,,,,,,,,,57,313,4035,2100
16,21-Mar,28,,,,,1,,,,,2,,,,,,,,,,,,,,,31,344,4985,
17,22-Mar,32,3,,1,2,,,1,,,,,,,,,,,,,,,,,,39,383,5821,
18,23-Mar,26,2,,,,,,1,1,,,,,,3,,,,,,,,,,,33,416,6269,
19,24-Mar,47,1,,,4,,4,2,1,1,2,,,1,,1,,,,,,,,,,64,480,6597,
20,25-Mar,87,5,,1,,1,,2,3,1,,,,,,,,,,,,,,,,100,580,7560,
21,26-Mar,42,,2,,,,1,,,,5,,,1,2,,1,,,,,,,,,54,634,8639,
22,27-Mar,24,,,1,1,,2,,1,,4,1,,,1,,,,,,,,,,,35,669,9430,
23,28-Mar,85,,,,6,1,7,5,2,,25,2,,1,2,,,1,1,,,,,,,138,807,10225,
24,29-Mar,108,6,,1,8,,,10,3,5,1,1,,,,,,,,,,,,,,143,950,11817,
25,30-Mar,81,5,2,,1,,8,1,4,,5,1,,4,2,,,1,,,,,,,,115,1065,12502,
26,31-Mar,191,4,,3,8,5,4,12,13,4,4,,,,3,1,,1,,1,,,,,,254,1319,13398,
27,1-Abr,49,,,,4,1,,17,7,,10,,1,2,2,1,,,,,1,,,,,95,1414,14264,
28,2-Abr,139,7,,,6,,1,5,6,3,10,,,,2,1,,,,,,,,,,180,1594,15104,
29,3-Abr,86,,,1,4,,23,5,5,,24,2,,6,3,2,1,,,,,,,,,162,1756,15739,
30,4-Abr,375,14,,5,4,2,42,25,,5,37,,,,6,,1,6,2,,,1,,,,525,2281,16095,
31,5 abril,198,9,,4,2,1,,20,6,4,28,,,3,,,2,,2,1,,,,,,280,2561,17853,
32,6-Abr,263,6,,6,,5,8,52,2,9,35,,,,1,,,,,5,,,1,,,393,2954,18601,
33,7-Abr,916,8,1,4,,6,138,159,24,14,84,3,,14,,5,,,,,,2,,10,,1388,4342,35257,"amazonas corrigio a 10 casos, inicialmente estaba con 11; corrigio cajamarca, inicialmente eran 4 y luego cambio a 5"
34,8-Abr,688,3,2,6,1,12,56,93,,7,25,4,1,14,,,,,2,,,,,,,914,5256,43209,
35,9-Abr,506,6,,3,2,15,,52,19,10,,3,,,,,3,,2,,2,,,6,12,641,5897,50784,
36,10-Abr,723,2,,10,1,23,24,76,7,21,,2,1,2,41,,1,,4,,,5,,6,2,951,6848,58864,
37,11-Abr,517,1,1,12,1,13,29,55,2,14,7,3,,6,1,,2,,,2,1,2,1,,1,671,7519,68987,
,Totales,5450,86,10,59,59,104,355,596,110,102,322,23,4,64,69,11,11,9,13,9,4,10,2,22,15,7519,,,
