Día,Fecha,LIM,ARE,HUC,ICA,CUS,PIU,LAM,CAL,LAL,ANC,LOR,SAM,MDD,JUN,TUM,CAJ,PAS,TAC,AYA,HUA,APU,MOQ,PUN,AMA,UCA,Total,Acumulado,Descartados,Fuente
1,06/03/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,154,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Per%C3%BA
2,07/03/2020,4,1,,,,,,,,,,,,,,,,,,,,,,,,5,6,213,
3,08/03/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,2,8,250,
4,09/03/2020,1,,2,,,,,,,,,,,,,,,,,,,,,,,3,11,309,
5,10/03/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,1,12,335,
6,11/03/2020,6,1,,1,,,,,,,,,,,,,,,,,,,,,,8,20,697,
7,12/03/2020,8,,,,,,,,,,,,,,,,,,,,,,,,,8,28,883,
8,13/03/2020,10,,,,1,,,,,,,,,,,,,,,,,,,,,11,39,1194,
9,14/03/2020,16,,,,,2,1,,,,,,,,,,,,,,,,,,,19,58,1502,
10,15/03/2020,22,,,,,,2,2,1,1,,,,,,,,,,,,,,,,28,86,1751,
11,16/03/2020,16,,,,,,3,,,,1,,,,,,,,,,,,,,,20,106,2229,
12,17/03/2020,17,,,,,,,1,1,,9,1,,,,,,,,,,,,,,29,135,2680,
13,18/03/2020,52,,,,3,,,,,1,1,,1,,,,,,,,,,,,,58,193,2930,
14,19/03/2020,56,1,,,,,,,,2,1,,,3,,,,,,,,,,,,63,256,3841,
15,20/03/2020,27,1,,,,16,2,,2,,2,,,7,,,,,,,,,,,,57,313,4035,
16,21/03/2020,28,,,,,1,,,,,2,,,,,,,,,,,,,,,31,344,4985,
17,22/03/2020,32,3,,1,2,,,1,,,,,,,,,,,,,,,,,,39,383,5821,
18,23/03/2020,26,2,,,,,,1,1,,,,,,3,,,,,,,,,,,33,416,6269,
19,24/03/2020,47,1,,,4,,4,2,1,1,2,,,1,,1,,,,,,,,,,64,480,6597,
20,25/03/2020,87,5,,1,,1,,2,3,1,,,,,,,,,,,,,,,,100,580,7560,
21,26/03/2020,42,,2,,,,1,,,,5,,,1,2,,1,,,,,,,,,54,634,8639,
22,27/03/2020,24,,,1,1,,2,,1,,4,1,,,1,,,,,,,,,,,35,669,9430,
23,28/03/2020,85,,,,6,1,7,5,2,,25,2,,1,2,,,1,1,,,,,,,138,807,10225,
24,29/03/2020,108,6,,1,8,,,10,3,5,1,1,,,,,,,,,,,,,,143,950,11817,
25,30/03/2020,81,5,2,,1,,8,1,4,,5,1,,4,2,,,1,,,,,,,,115,1065,12502,
26,31/03/2020,191,4,,3,8,5,4,12,13,4,4,,,,3,1,,1,,1,,,,,,254,1319,13398,
27,01/04/2020,49,,,,4,1,,17,7,,10,,1,2,2,1,,,,,1,,,,,95,1414,14264,
28,02/04/2020,139,7,,,6,,1,5,6,3,10,,,,2,1,,,,,,,,,,180,1594,15104,
29,03/04/2020,86,,,1,4,,23,5,5,,24,2,,6,3,2,1,,,,,,,,,162,1756,15739,
30,04/04/2020,375,14,,5,4,2,42,25,,5,37,,,,6,,1,6,2,,,1,,,,525,2281,16095,
31,05/04/2020,198,9,,4,2,1,,20,6,4,28,,,3,,,2,,2,1,,,,,,280,2561,17853,
32,06/04/2020,263,6,,6,,5,8,52,2,9,35,,,,1,,,,,5,,,1,,,393,2954,18601,
