Distrito,Casos,Comentario,Pob_distrito 
Santiago de Surco,23,Hasta 21 Marzo 2020,355577
Miraflores,20,,81619
Jesus Maria,18,,71680
Lima,10,,265693
San Isidro,9,,53460
San Miguel,9,,137247
San Martin de Porres,7,,729974
Villa El Salvador,7,,482027
San Juan de Lurigancho,6,,1138453
Pueblo Libre,6,,76129
El Agustino,5,,195304
Comas,5,,537263
Carabayllo,5,,317952
San Borja,4,,112712
Surquillo,4,,91474
Independencia,4,,220372
Rimac,3,,162897
Chorrillos,3,,336054
San Juan de Miraflores,3,,415870
Puente Piedra,3,,373062
Villa Maria del Triunfo,2,,465735
Magdalena del Mar,2,,54925
La Molina,2,,179785
Ate,2,,661786
Lince,2,,49064
Brena,2,,74711
Callao,2,,1014000
Los Olivos,2,,384711
Ancon,1,,41474
La Punta,1,,3439
La Victoria,1,,166657
San Luis,1,,58461
Barranco,1,,28970
Cieneguilla,1,,49707
Chaclacayo,1,,44197
Lurin,1,,89416
No precisan,11,,
