FECHA,TOTAL_POSITIVOS,TOTAL_PRUEBAS,TOTAL_DESCARTADOS,POSITIVOS_DIA,PRUEBAS_DIA,DESCARTADOS_DIA,RECUPERADOS,FALLECIDOS,HOSPITALIZADOS,HOSPITALIZADOS_UCI,HOSPITALIZADOS_VENTILADOR,FUENTE,ACTUALIZACIÓN
06/03/2020,1,155,154,1,155,154,,,,,,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Per%C3%BA,Al 2 de abril del 2020
07/03/2020,6,219,213,5,64,59,,,,,,,
08/03/2020,7,250,243,1,31,30,,,,,,,
09/03/2020,9,318,309,2,68,66,,,,,,,
10/03/2020,11,346,335,2,28,26,,,,,,,
11/03/2020,17,714,697,6,368,362,,,,,,,
12/03/2020,22,855,833,5,141,136,,,,,,,
13/03/2020,38,1232,1194,16,377,361,,,,,,,
14/03/2020,43,1545,1502,5,313,308,,,,,,,
15/03/2020,71,1822,1751,28,277,249,,,,,,,
16/03/2020,86,2315,2229,15,493,478,1,,,,,,
17/03/2020,117,2680,2563,31,365,334,1,,,,,,
18/03/2020,145,3075,2930,28,395,367,1,,,,,,
19/03/2020,234,3841,3607,89,766,677,1,3,19,,7,,
20/03/2020,263,4298,4035,29,457,428,1,4,28,,5,,
21/03/2020,318,4985,4667,55,687,632,1,5,28,,5,,
22/03/2020,363,6184,5821,45,1199,1154,1,5,31,,5,,
23/03/2020,395,6664,6269,32,480,448,1,5,31,,5,,
24/03/2020,416,7013,6597,21,349,328,1,7,23,,9,,
25/03/2020,480,8040,7560,64,1027,963,1,9,38,,18,,
26/03/2020,580,9219,8639,100,1179,1079,14,9,58,14,13,,
27/03/2020,635,10065,9430,55,846,791,14,11,79,19,21,,
28/03/2020,671,10896,10225,36,831,795,16,16,84,33,30,,
29/03/2020,852,12669,11817,181,1773,1592,16,18,107,40,37,,
30/03/2020,950,13452,12502,98,783,685,16,24,238,49,37,,
31/03/2020,1065,14463,13398,115,1011,896,394,30,190,57,,,
01/04/2020,1323,15587,14264,258,1124,866,447,47,198,56,,,
02/04/2020,1414,16515,15101,91,928,837,537,55,189,51,,,
