"Fecha1","REGION","CASOS"
2020-03-06,"LIM",1
2020-03-07,"LIM",4
2020-03-08,"LIM",2
2020-03-09,"LIM",1
2020-03-10,"LIM",1
2020-03-11,"LIM",6
2020-03-12,"LIM",8
2020-03-13,"LIM",10
2020-03-14,"LIM",16
2020-03-15,"LIM",22
2020-03-16,"LIM",16
2020-03-17,"LIM",17
2020-03-18,"LIM",52
2020-03-19,"LIM",56
2020-03-20,"LIM",27
2020-03-21,"LIM",28
2020-03-22,"LIM",32
2020-03-23,"LIM",26
2020-03-24,"LIM",47
2020-03-25,"LIM",87
2020-03-26,"LIM",42
2020-03-27,"LIM",24
2020-03-28,"LIM",85
2020-03-29,"LIM",108
2020-03-30,"LIM",81
2020-03-31,"LIM",191
2020-04-01,"LIM",49
2020-04-02,"LIM",139
2020-04-03,"LIM",86
2020-04-04,"LIM",375
2020-04-05,"LIM",198
2020-04-06,"LIM",263
2020-04-07,"LIM",916
2020-04-08,"LIM",688
2020-04-09,"LIM",506
2020-04-10,"LIM",729
2020-04-11,"LIM",517
2020-04-12,"LIM",2007
2020-04-13,"LIM",24
2020-04-14,"LIM",928
2020-04-15,"LIM",692
2020-04-16,"LIM",687
2020-04-17,"LIM",442
2020-04-18,"LIM",645
2020-04-19,"LIM",421
2020-04-20,"LIM",954
2020-04-21,"LIM",972
2020-04-22,"LIM",1072
2020-03-06,"ARE",0
2020-03-07,"ARE",1
2020-03-08,"ARE",0
2020-03-09,"ARE",0
2020-03-10,"ARE",0
2020-03-11,"ARE",1
2020-03-12,"ARE",0
2020-03-13,"ARE",0
2020-03-14,"ARE",0
2020-03-15,"ARE",0
2020-03-16,"ARE",0
2020-03-17,"ARE",0
2020-03-18,"ARE",0
2020-03-19,"ARE",1
2020-03-20,"ARE",1
2020-03-21,"ARE",0
2020-03-22,"ARE",3
2020-03-23,"ARE",2
2020-03-24,"ARE",1
2020-03-25,"ARE",5
2020-03-26,"ARE",0
2020-03-27,"ARE",0
2020-03-28,"ARE",0
2020-03-29,"ARE",6
2020-03-30,"ARE",5
2020-03-31,"ARE",4
2020-04-01,"ARE",0
2020-04-02,"ARE",7
2020-04-03,"ARE",0
2020-04-04,"ARE",14
2020-04-05,"ARE",9
2020-04-06,"ARE",6
2020-04-07,"ARE",8
2020-04-08,"ARE",3
2020-04-09,"ARE",6
2020-04-10,"ARE",2
2020-04-11,"ARE",1
2020-04-12,"ARE",12
2020-04-13,"ARE",0
2020-04-14,"ARE",0
2020-04-15,"ARE",13
2020-04-16,"ARE",23
2020-04-17,"ARE",12
2020-04-18,"ARE",46
2020-04-19,"ARE",37
2020-04-20,"ARE",44
2020-04-21,"ARE",3
2020-04-22,"ARE",15
2020-03-06,"HUC",0
2020-03-07,"HUC",0
2020-03-08,"HUC",0
2020-03-09,"HUC",2
2020-03-10,"HUC",0
2020-03-11,"HUC",0
2020-03-12,"HUC",0
2020-03-13,"HUC",0
2020-03-14,"HUC",0
2020-03-15,"HUC",0
2020-03-16,"HUC",0
2020-03-17,"HUC",0
2020-03-18,"HUC",0
2020-03-19,"HUC",0
2020-03-20,"HUC",0
2020-03-21,"HUC",0
2020-03-22,"HUC",0
2020-03-23,"HUC",0
2020-03-24,"HUC",0
2020-03-25,"HUC",0
2020-03-26,"HUC",2
2020-03-27,"HUC",0
2020-03-28,"HUC",0
2020-03-29,"HUC",0
2020-03-30,"HUC",2
2020-03-31,"HUC",0
2020-04-01,"HUC",0
2020-04-02,"HUC",0
2020-04-03,"HUC",0
2020-04-04,"HUC",0
2020-04-05,"HUC",0
2020-04-06,"HUC",0
2020-04-07,"HUC",1
2020-04-08,"HUC",2
2020-04-09,"HUC",0
2020-04-10,"HUC",0
2020-04-11,"HUC",1
2020-04-12,"HUC",5
2020-04-13,"HUC",0
2020-04-14,"HUC",24
2020-04-15,"HUC",3
2020-04-16,"HUC",3
2020-04-17,"HUC",19
2020-04-18,"HUC",19
2020-04-19,"HUC",0
2020-04-20,"HUC",8
2020-04-21,"HUC",23
2020-04-22,"HUC",2
2020-03-06,"ICA",0
2020-03-07,"ICA",0
2020-03-08,"ICA",0
2020-03-09,"ICA",0
2020-03-10,"ICA",0
2020-03-11,"ICA",1
2020-03-12,"ICA",0
2020-03-13,"ICA",0
2020-03-14,"ICA",0
2020-03-15,"ICA",0
2020-03-16,"ICA",0
2020-03-17,"ICA",0
2020-03-18,"ICA",0
2020-03-19,"ICA",0
2020-03-20,"ICA",0
2020-03-21,"ICA",0
2020-03-22,"ICA",1
2020-03-23,"ICA",0
2020-03-24,"ICA",0
2020-03-25,"ICA",1
2020-03-26,"ICA",0
2020-03-27,"ICA",1
2020-03-28,"ICA",0
2020-03-29,"ICA",1
2020-03-30,"ICA",0
2020-03-31,"ICA",3
2020-04-01,"ICA",0
2020-04-02,"ICA",0
2020-04-03,"ICA",1
2020-04-04,"ICA",5
2020-04-05,"ICA",4
2020-04-06,"ICA",6
2020-04-07,"ICA",4
2020-04-08,"ICA",6
2020-04-09,"ICA",3
2020-04-10,"ICA",10
2020-04-11,"ICA",11
2020-04-12,"ICA",0
2020-04-13,"ICA",18
2020-04-14,"ICA",25
2020-04-15,"ICA",5
2020-04-16,"ICA",13
2020-04-17,"ICA",5
2020-04-18,"ICA",17
2020-04-19,"ICA",4
2020-04-20,"ICA",50
2020-04-21,"ICA",18
2020-04-22,"ICA",35
2020-03-06,"CUS",0
2020-03-07,"CUS",0
2020-03-08,"CUS",0
2020-03-09,"CUS",0
2020-03-10,"CUS",0
2020-03-11,"CUS",0
2020-03-12,"CUS",0
2020-03-13,"CUS",1
2020-03-14,"CUS",0
2020-03-15,"CUS",0
2020-03-16,"CUS",0
2020-03-17,"CUS",0
2020-03-18,"CUS",3
2020-03-19,"CUS",0
2020-03-20,"CUS",0
2020-03-21,"CUS",0
2020-03-22,"CUS",2
2020-03-23,"CUS",0
2020-03-24,"CUS",4
2020-03-25,"CUS",0
2020-03-26,"CUS",0
2020-03-27,"CUS",1
2020-03-28,"CUS",6
2020-03-29,"CUS",8
2020-03-30,"CUS",1
2020-03-31,"CUS",8
2020-04-01,"CUS",4
2020-04-02,"CUS",6
2020-04-03,"CUS",4
2020-04-04,"CUS",4
2020-04-05,"CUS",2
2020-04-06,"CUS",0
2020-04-07,"CUS",0
2020-04-08,"CUS",1
2020-04-09,"CUS",2
2020-04-10,"CUS",1
2020-04-11,"CUS",1
2020-04-12,"CUS",0
2020-04-13,"CUS",47
2020-04-14,"CUS",2
