"","Fecha","REGION","CASOS"
"1","6-MAR","LIM",1
"2","7-MAR","LIM",4
"3","8-MAR","LIM",2
"4","9-MAR","LIM",1
"5","10-MAR","LIM",1
"6","11-MAR","LIM",6
"7","12-MAR","LIM",8
"8","13-MAR","LIM",10
"9","14-MAR","LIM",16
"10","15-MAR","LIM",22
"11","16-MAR","LIM",16
"12","17-MAR","LIM",17
"13","18-MAR","LIM",52
"14","19-MAR","LIM",56
"15","20-MAR","LIM",27
"16","21-MAR","LIM",28
"17","22-MAR","LIM",32
"18","23-MAR","LIM",26
"19","24-MAR","LIM",47
"20","25-MAR","LIM",87
"21","26-MAR","LIM",42
"22","27-MAR","LIM",24
"23","28-MAR","LIM",85
"24","29-MAR","LIM",108
"25","30-MAR","LIM",81
"26","31-MAR","LIM",191
"27","1-ABR","LIM",49
"28","2-ABR","LIM",139
"29","3-ABR","LIM",86
"30","4-ABR","LIM",375
"31","5 ABRIL","LIM",198
"32","6-ABR","LIM",263
"33","7-ABR","LIM",916
"34","8-ABR","LIM",688
"35","9-ABR","LIM",506
"36","10-ABR","LIM",723
"37","11-ABR","LIM",517
"38","6-MAR","ARE",0
"39","7-MAR","ARE",1
"40","8-MAR","ARE",0
"41","9-MAR","ARE",0
"42","10-MAR","ARE",0
"43","11-MAR","ARE",1
"44","12-MAR","ARE",0
"45","13-MAR","ARE",0
"46","14-MAR","ARE",0
"47","15-MAR","ARE",0
"48","16-MAR","ARE",0
"49","17-MAR","ARE",0
"50","18-MAR","ARE",0
"51","19-MAR","ARE",1
"52","20-MAR","ARE",1
"53","21-MAR","ARE",0
"54","22-MAR","ARE",3
"55","23-MAR","ARE",2
"56","24-MAR","ARE",1
"57","25-MAR","ARE",5
"58","26-MAR","ARE",0
"59","27-MAR","ARE",0
"60","28-MAR","ARE",0
"61","29-MAR","ARE",6
"62","30-MAR","ARE",5
"63","31-MAR","ARE",4
"64","1-ABR","ARE",0
"65","2-ABR","ARE",7
"66","3-ABR","ARE",0
"67","4-ABR","ARE",14
"68","5 ABRIL","ARE",9
"69","6-ABR","ARE",6
"70","7-ABR","ARE",8
"71","8-ABR","ARE",3
"72","9-ABR","ARE",6
"73","10-ABR","ARE",2
"74","11-ABR","ARE",1
"75","6-MAR","HUC",0
"76","7-MAR","HUC",0
"77","8-MAR","HUC",0
"78","9-MAR","HUC",2
"79","10-MAR","HUC",0
"80","11-MAR","HUC",0
"81","12-MAR","HUC",0
"82","13-MAR","HUC",0
"83","14-MAR","HUC",0
"84","15-MAR","HUC",0
"85","16-MAR","HUC",0
"86","17-MAR","HUC",0
"87","18-MAR","HUC",0
"88","19-MAR","HUC",0
"89","20-MAR","HUC",0
"90","21-MAR","HUC",0
"91","22-MAR","HUC",0
"92","23-MAR","HUC",0
"93","24-MAR","HUC",0
"94","25-MAR","HUC",0
"95","26-MAR","HUC",2
"96","27-MAR","HUC",0
"97","28-MAR","HUC",0
"98","29-MAR","HUC",0
"99","30-MAR","HUC",2
"100","31-MAR","HUC",0
"101","1-ABR","HUC",0
"102","2-ABR","HUC",0
"103","3-ABR","HUC",0
"104","4-ABR","HUC",0
"105","5 ABRIL","HUC",0
"106","6-ABR","HUC",0
"107","7-ABR","HUC",1
"108","8-ABR","HUC",2
"109","9-ABR","HUC",0
"110","10-ABR","HUC",0
"111","11-ABR","HUC",1
"112","6-MAR","ICA",0
"113","7-MAR","ICA",0
"114","8-MAR","ICA",0
"115","9-MAR","ICA",0
"116","10-MAR","ICA",0
"117","11-MAR","ICA",1
"118","12-MAR","ICA",0
"119","13-MAR","ICA",0
"120","14-MAR","ICA",0
"121","15-MAR","ICA",0
"122","16-MAR","ICA",0
"123","17-MAR","ICA",0
"124","18-MAR","ICA",0
"125","19-MAR","ICA",0
"126","20-MAR","ICA",0
"127","21-MAR","ICA",0
"128","22-MAR","ICA",1
"129","23-MAR","ICA",0
"130","24-MAR","ICA",0
"131","25-MAR","ICA",1
"132","26-MAR","ICA",0
"133","27-MAR","ICA",1
"134","28-MAR","ICA",0
"135","29-MAR","ICA",1
"136","30-MAR","ICA",0
"137","31-MAR","ICA",3
"138","1-ABR","ICA",0
"139","2-ABR","ICA",0
"140","3-ABR","ICA",1
"141","4-ABR","ICA",5
"142","5 ABRIL","ICA",4
"143","6-ABR","ICA",6
"144","7-ABR","ICA",4
"145","8-ABR","ICA",6
"146","9-ABR","ICA",3
"147","10-ABR","ICA",10
"148","11-ABR","ICA",12
"149","6-MAR","CUS",0
"150","7-MAR","CUS",0
"151","8-MAR","CUS",0
"152","9-MAR","CUS",0
"153","10-MAR","CUS",0
"154","11-MAR","CUS",0
"155","12-MAR","CUS",0
"156","13-MAR","CUS",1
