"","FECHA","DIA","MES","ANO","TOTAL_POSITIVOS","TOTAL_PRUEBAS","TOTAL_DESCARTADOS","POSITIVOS_DIA","PRUEBAS_DIA","DESCARTADOS_DIA","RECUPERADOS","FALLECIDOS","HOSPITALIZADOS","HOSPITALIZADOS_UCI","HOSPITALIZADOS_VENTILADOR","FUENTE","ACTUALIZACIÓN"
"1",2020-03-06,"06","03","2020",1,155,154,1,155,154,NA,NA,NA,NA,NA,"HTTPS://ES.WIKIPEDIA.ORG/WIKI/PANDEMIA_DE_ENFERMEDAD_POR_CORONAVIRUS_DE_2020_EN_PER%C3%BA","AL 2 DE ABRIL DEL 2020"
"2",2020-03-07,"07","03","2020",6,219,213,5,64,59,NA,NA,NA,NA,NA,"",""
"3",2020-03-08,"08","03","2020",7,250,243,1,31,30,NA,NA,NA,NA,NA,"",""
"4",2020-03-09,"09","03","2020",9,318,309,2,68,66,NA,NA,NA,NA,NA,"",""
"5",2020-03-10,"10","03","2020",11,346,335,2,28,26,NA,NA,NA,NA,NA,"",""
"6",2020-03-11,"11","03","2020",17,714,697,6,368,362,NA,NA,NA,NA,NA,"",""
"7",2020-03-12,"12","03","2020",22,855,833,5,141,136,NA,NA,NA,NA,NA,"",""
"8",2020-03-13,"13","03","2020",38,1232,1194,16,377,361,NA,NA,NA,NA,NA,"",""
"9",2020-03-14,"14","03","2020",43,1545,1502,5,313,308,NA,NA,NA,NA,NA,"",""
"10",2020-03-15,"15","03","2020",71,1822,1751,28,277,249,NA,NA,NA,NA,NA,"",""
"11",2020-03-16,"16","03","2020",86,2315,2229,15,493,478,1,NA,NA,NA,NA,"",""
"12",2020-03-17,"17","03","2020",117,2680,2563,31,365,334,1,NA,NA,NA,NA,"",""
"13",2020-03-18,"18","03","2020",145,3075,2930,28,395,367,1,NA,NA,NA,NA,"",""
"14",2020-03-19,"19","03","2020",234,3841,3607,89,766,677,1,3,19,NA,7,"",""
"15",2020-03-20,"20","03","2020",263,4298,4035,29,457,428,1,4,28,NA,5,"",""
"16",2020-03-21,"21","03","2020",318,4985,4667,55,687,632,1,5,28,NA,5,"",""
"17",2020-03-22,"22","03","2020",363,6184,5821,45,1199,1154,1,5,31,NA,5,"",""
"18",2020-03-23,"23","03","2020",395,6664,6269,32,480,448,1,5,31,NA,5,"",""
"19",2020-03-24,"24","03","2020",416,7013,6597,21,349,328,1,7,23,NA,9,"",""
"20",2020-03-25,"25","03","2020",480,8040,7560,64,1027,963,1,9,38,NA,18,"",""
"21",2020-03-26,"26","03","2020",580,9219,8639,100,1179,1079,14,9,58,14,13,"",""
"22",2020-03-27,"27","03","2020",635,10065,9430,55,846,791,14,11,79,19,21,"",""
"23",2020-03-28,"28","03","2020",671,10896,10225,36,831,795,16,16,84,33,30,"",""
"24",2020-03-29,"29","03","2020",852,12669,11817,181,1773,1592,16,18,107,40,37,"",""
"25",2020-03-30,"30","03","2020",950,13452,12502,98,783,685,16,24,238,49,37,"",""
"26",2020-03-31,"31","03","2020",1065,14463,13398,115,1011,896,394,30,190,57,NA,"",""
"27",2020-04-01,"01","04","2020",1323,15587,14264,258,1124,866,447,47,198,56,NA,"",""
"28",2020-04-02,"02","04","2020",1414,16515,15101,91,928,837,537,55,189,51,NA,"",""
"29",2020-04-03,"03","04","2020",1595,17334,15739,181,816,635,537,61,189,51,NA,"",""
"30",2020-04-04,"04","04","2020",1746,17841,16095,151,507,356,799,73,285,88,NA,"",""
