"","FECHA","DIA","MES","ANO","TOTAL_POSITIVOS","TOTAL_PRUEBAS","TOTAL_DESCARTADOS","POSITIVOS_DIA","PRUEBAS_DIA","DESCARTADOS_DIA","RECUPERADOS","FALLECIDOS","HOSPITALIZADOS","HOSPITALIZADOS_UCI","OBSERVACION","FUENTE","ACTUALIZACION"
"1",2020-03-06,"06","03","2020",1,155,154,1,155,154,NA,NA,NA,NA,"BASE DE DATOS ACTUALIZADA DE ACUERDO A LA FECHA DE CONFIRMACION DEL CASO","HTTPS://ES.WIKIPEDIA.ORG/WIKI/PANDEMIA_DE_ENFERMEDAD_POR_CORONAVIRUS_DE_2020_EN_PER%C3%BA","AL 19 DE ABRIL DEL 2020"
"2",2020-03-07,"07","03","2020",6,219,213,5,64,59,NA,NA,NA,NA,"","",""
"3",2020-03-08,"08","03","2020",8,258,250,2,39,37,NA,NA,NA,NA,"","",""
"4",2020-03-09,"09","03","2020",11,320,309,3,62,59,NA,NA,NA,NA,"","",""
"5",2020-03-10,"10","03","2020",12,347,335,1,27,26,NA,NA,NA,NA,"","",""
"6",2020-03-11,"11","03","2020",20,717,697,8,370,362,NA,NA,NA,NA,"","",""
"7",2020-03-12,"12","03","2020",28,911,883,8,194,186,NA,NA,NA,NA,"","",""
"8",2020-03-13,"13","03","2020",39,1233,1194,11,322,311,NA,NA,NA,NA,"","",""
"9",2020-03-14,"14","03","2020",58,1560,1502,19,327,308,NA,NA,NA,NA,"","",""
"10",2020-03-15,"15","03","2020",86,1837,1751,28,277,249,1,NA,NA,NA,"","",""
"11",2020-03-16,"16","03","2020",106,2335,2229,20,498,478,1,NA,NA,NA,"","",""
"12",2020-03-17,"17","03","2020",135,2815,2680,29,480,451,1,NA,NA,NA,"","",""
"13",2020-03-18,"18","03","2020",193,3123,2930,58,308,250,1,3,19,NA,"","",""
"14",2020-03-19,"19","03","2020",256,4097,3841,63,974,911,1,4,28,NA,"","",""
"15",2020-03-20,"20","03","2020",313,4348,4035,57,251,194,1,5,28,NA,"","",""
"16",2020-03-21,"21","03","2020",344,5329,4985,31,981,950,1,5,31,NA,"","",""
"17",2020-03-22,"22","03","2020",383,6204,5821,39,875,836,1,5,31,NA,"","",""
"18",2020-03-23,"23","03","2020",416,6685,6269,33,481,448,1,7,23,NA,"","",""
"19",2020-03-24,"24","03","2020",480,7077,6597,64,392,328,1,9,38,NA,"","",""
"20",2020-03-25,"25","03","2020",580,8140,7560,100,1063,963,14,9,58,14,"","",""
"21",2020-03-26,"26","03","2020",634,9273,8639,54,1133,1079,14,11,79,19,"","",""
"22",2020-03-27,"27","03","2020",669,10099,9430,35,826,791,16,16,84,33,"","",""
"23",2020-03-28,"28","03","2020",807,11032,10225,138,933,795,16,18,107,40,"","",""
"24",2020-03-29,"29","03","2020",950,12767,11817,143,1735,1592,16,24,238,49,"","",""
"25",2020-03-30,"30","03","2020",1065,13567,12502,115,800,685,394,30,190,57,"","",""
"26",2020-03-31,"31","03","2020",1319,14717,13398,254,1150,896,447,47,198,56,"","",""
"27",2020-04-01,"01","04","2020",1414,15678,14264,95,961,866,537,55,189,51,"","",""
"28",2020-04-02,"02","04","2020",1594,16698,15104,180,1020,840,537,61,189,51,"","",""
"29",2020-04-03,"03","04","2020",1756,17495,15739,162,797,635,799,73,285,88,"","",""
"30",2020-04-04,"04","04","2020",2281,18376,16095,525,881,356,989,83,321,81,"","",""
"31",2020-04-05,"05","04","2020",2561,20414,17853,280,2038,1758,997,92,387,89,"BASE DE DATOS MODIFICADA DE ACUERDO A LOS CAMBIOS DE MINSA A PARTIR DEL 5 DE ABRIL","",""
"32",2020-04-06,"06","04","2020",2954,21555,18601,393,1141,748,1301,107,490,109,"","",""
"33",2020-04-07,"07","04","2020",4342,39599,35257,1388,18044,16656,1333,121,512,113,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
