"Fecha","REGION","CASOS"
"06/03/2020","LIM",1
"07/03/2020","LIM",4
"08/03/2020","LIM",2
"09/03/2020","LIM",1
"10/03/2020","LIM",1
"11/03/2020","LIM",6
"12/03/2020","LIM",8
"13/03/2020","LIM",10
"14/03/2020","LIM",16
"15/03/2020","LIM",22
"16/03/2020","LIM",16
"17/03/2020","LIM",17
"18/03/2020","LIM",52
"19/03/2020","LIM",56
"20/03/2020","LIM",27
"21/03/2020","LIM",28
"22/03/2020","LIM",32
"23/03/2020","LIM",26
"24/03/2020","LIM",47
"25/03/2020","LIM",87
"26/03/2020","LIM",42
"27/03/2020","LIM",24
"28/03/2020","LIM",85
"29/03/2020","LIM",108
"30/03/2020","LIM",81
"31/03/2020","LIM",191
"01/04/2020","LIM",49
"02/04/2020","LIM",139
"03/04/2020","LIM",86
"04/04/2020","LIM",375
"05/04/2020","LIM",198
"06/04/2020","LIM",263
"07/04/2020","LIM",916
"08/04/2020","LIM",688
"09/04/2020","LIM",506
"10/04/2020","LIM",729
"11/04/2020","LIM",517
"TOTALES","LIM",7458
"06/03/2020","ARE",0
"07/03/2020","ARE",1
"08/03/2020","ARE",0
"09/03/2020","ARE",0
"10/03/2020","ARE",0
"11/03/2020","ARE",1
"12/03/2020","ARE",0
"13/03/2020","ARE",0
"14/03/2020","ARE",0
"15/03/2020","ARE",0
"16/03/2020","ARE",0
"17/03/2020","ARE",0
"18/03/2020","ARE",0
"19/03/2020","ARE",1
"20/03/2020","ARE",1
"21/03/2020","ARE",0
"22/03/2020","ARE",3
"23/03/2020","ARE",2
"24/03/2020","ARE",1
"25/03/2020","ARE",5
"26/03/2020","ARE",0
"27/03/2020","ARE",0
"28/03/2020","ARE",0
"29/03/2020","ARE",6
"30/03/2020","ARE",5
"31/03/2020","ARE",4
"01/04/2020","ARE",0
"02/04/2020","ARE",7
"03/04/2020","ARE",0
"04/04/2020","ARE",14
"05/04/2020","ARE",9
"06/04/2020","ARE",6
"07/04/2020","ARE",8
"08/04/2020","ARE",3
"09/04/2020","ARE",6
"10/04/2020","ARE",2
"11/04/2020","ARE",1
"TOTALES","ARE",98
"06/03/2020","HUC",0
"07/03/2020","HUC",0
"08/03/2020","HUC",0
"09/03/2020","HUC",2
"10/03/2020","HUC",0
"11/03/2020","HUC",0
"12/03/2020","HUC",0
"13/03/2020","HUC",0
"14/03/2020","HUC",0
"15/03/2020","HUC",0
"16/03/2020","HUC",0
"17/03/2020","HUC",0
"18/03/2020","HUC",0
"19/03/2020","HUC",0
"20/03/2020","HUC",0
"21/03/2020","HUC",0
"22/03/2020","HUC",0
"23/03/2020","HUC",0
"24/03/2020","HUC",0
"25/03/2020","HUC",0
"26/03/2020","HUC",2
"27/03/2020","HUC",0
"28/03/2020","HUC",0
"29/03/2020","HUC",0
"30/03/2020","HUC",2
"31/03/2020","HUC",0
"01/04/2020","HUC",0
"02/04/2020","HUC",0
"03/04/2020","HUC",0
"04/04/2020","HUC",0
"05/04/2020","HUC",0
"06/04/2020","HUC",0
"07/04/2020","HUC",1
"08/04/2020","HUC",2
"09/04/2020","HUC",0
"10/04/2020","HUC",0
"11/04/2020","HUC",1
"TOTALES","HUC",15
"06/03/2020","ICA",0
"07/03/2020","ICA",0
"08/03/2020","ICA",0
"09/03/2020","ICA",0
"10/03/2020","ICA",0
"11/03/2020","ICA",1
"12/03/2020","ICA",0
"13/03/2020","ICA",0
"14/03/2020","ICA",0
"15/03/2020","ICA",0
"16/03/2020","ICA",0
"17/03/2020","ICA",0
"18/03/2020","ICA",0
"19/03/2020","ICA",0
"20/03/2020","ICA",0
"21/03/2020","ICA",0
"22/03/2020","ICA",1
"23/03/2020","ICA",0
"24/03/2020","ICA",0
"25/03/2020","ICA",1
"26/03/2020","ICA",0
"27/03/2020","ICA",1
"28/03/2020","ICA",0
"29/03/2020","ICA",1
"30/03/2020","ICA",0
"31/03/2020","ICA",3
"01/04/2020","ICA",0
"02/04/2020","ICA",0
"03/04/2020","ICA",1
"04/04/2020","ICA",5
"05/04/2020","ICA",4
"06/04/2020","ICA",6
"07/04/2020","ICA",4
"08/04/2020","ICA",6
"09/04/2020","ICA",3
"10/04/2020","ICA",10
"11/04/2020","ICA",11
"TOTALES","ICA",58
"06/03/2020","CUS",0
"07/03/2020","CUS",0
"08/03/2020","CUS",0
"09/03/2020","CUS",0
"10/03/2020","CUS",0
"11/03/2020","CUS",0
"12/03/2020","CUS",0
"13/03/2020","CUS",1
"14/03/2020","CUS",0
"15/03/2020","CUS",0
"16/03/2020","CUS",0
"17/03/2020","CUS",0
"18/03/2020","CUS",3
"19/03/2020","CUS",0
"20/03/2020","CUS",0
"21/03/2020","CUS",0
"22/03/2020","CUS",2
"23/03/2020","CUS",0
"24/03/2020","CUS",4
"25/03/2020","CUS",0
"26/03/2020","CUS",0
"27/03/2020","CUS",1
"28/03/2020","CUS",6
"29/03/2020","CUS",8
"30/03/2020","CUS",1
"31/03/2020","CUS",8
"01/04/2020","CUS",4
"02/04/2020","CUS",6
"03/04/2020","CUS",4
"04/04/2020","CUS",4
"05/04/2020","CUS",2
"06/04/2020","CUS",0
"07/04/2020","CUS",0
"08/04/2020","CUS",1
"09/04/2020","CUS",2
"10/04/2020","CUS",1
"11/04/2020","CUS",1
"TOTALES","CUS",59
"06/03/2020","PIU",0
